,Model_Name,RMSE_Train,RMSE_Predict,R_Square,Y_Pred_Train,Model,Scaler,Y_Pred_All
0,Linear_Regression,5559.220077125331,4822.42453140062,0.6929833440415842,"[19322.44656084 16011.0799276  30663.70331492 ... 14943.76743784
 17110.55083073 31105.01840477]",LinearRegression(),MinMaxScaler(),"[ 9390.65670391 43665.66089041  7892.93858418 ... 21307.37788738
 23180.53360057 20179.84899779]"
1,Lasso_Regression,5559.244967251035,4822.089325419742,0.693026023918428,"[19316.03641153 16020.12240533 30637.86339756 ... 14942.5382162
 17117.91356833 31083.29544797]",Lasso(),MinMaxScaler(),"[ 9402.54510932 43596.57375033  7904.42313683 ... 21285.16400563
 23152.36650039 20157.96191761]"
2,Ridge_Regression,5562.3585982559325,4827.223141133606,0.6923720390464667,"[19316.35428776 16154.25673538 30556.23533157 ... 14945.71897882
 17261.13268067 30962.68821497]",Ridge(),MinMaxScaler(),"[ 9507.83570621 42751.54527749  7854.30647452 ... 21181.90782532
 23015.02856604 19943.56816776]"
3,Elastic_Regression,8037.381359864072,7330.133943684934,0.2906593011829227,"[17179.00478006 18123.54030434 18647.74023981 ... 14403.52227813
 15089.4599041  20293.41880995]",ElasticNet(),MinMaxScaler(),"[14791.93850044 17971.86311146 12495.32391536 ... 15512.21757698
 16533.65930376 17875.07785494]"
4,Decision_Tree_Regressor,0.0,5169.9319951171765,0.647141390650803,[20000. 14600. 42700. ... 13400. 12500. 35300.],DecisionTreeRegressor(),MinMaxScaler(),[12600. 30800. 10200. ... 15700. 20100. 15500.]
5,Ada_Boost_Regressor,4997.758568588343,5361.933432114758,0.6204457198849544,"[17410.06655574 16785.13661202 31945.25547445 ... 14848.8372093
 16785.13661202 36429.54091816]",AdaBoostRegressor(),MinMaxScaler(),"[12329.76190476 54839.65517241 12313.29442283 ... 21154.6460177
 21759.33456562 17801.16959064]"
6,Random_Forest_Regressor,1733.0546391562168,3516.268678266262,0.8367718112458392,[20377. 15978. 41769. ... 14294. 13054. 38174.],RandomForestRegressor(),MinMaxScaler(),[10875. 59578. 10456. ... 17061. 20411. 16158.]
7,Gradient_Boosting_Regressor,3957.8148520810983,3385.1773482912063,0.8487156827577838,"[19836.94914916 15846.29013623 39320.33572297 ... 13926.44688037
 12227.5341169  38367.15673482]",GradientBoostingRegressor(),MinMaxScaler(),"[12307.69636334 62322.25037302 11120.75669496 ... 16594.76381863
 21323.11444119 16691.05245513]"
8,XG_Boost_Regressor,1093.6944858037325,3664.985766359988,0.8226726835035063,[21630.861 16058.981 37351.51  ... 13959.82  10012.329 39786.82 ],"XGBRegressor(base_score=0.5, booster='gbtree', colsample_bylevel=1,
             colsample_bynode=1, colsample_bytree=1, gamma=0, gpu_id=-1,
             importance_type='gain', interaction_constraints='',
             learning_rate=0.300000012, max_delta_step=0, max_depth=6,
             min_child_weight=1, missing=nan, monotone_constraints='()',
             n_estimators=100, n_jobs=8, num_parallel_tree=1, random_state=0,
             reg_alpha=0, reg_lambda=1, scale_pos_weight=1, subsample=1,
             tree_method='exact', validate_parameters=1, verbosity=None)",MinMaxScaler(),[10747.346 69223.54  11100.02  ... 17487.871 20554.742 15629.633]
9,Support_Vector_Regressor,9460.372914649137,8699.570190277711,0.000859300285453779,"[14364.45330456 14471.712931   14375.70971117 ... 14003.99946043
 14131.0197262  14450.34216398]",SVR(),MinMaxScaler(),"[14220.3984463  14330.47420309 14053.96477043 ... 14142.23584293
 14236.50926129 14454.70451303]"
10,K_Nearest_Neighbor_Regressor,4718.177614291349,5214.037144555441,0.6410951734571142,[22580. 15300. 21460. ... 15180. 12860. 42220.],KNeighborsRegressor(),MinMaxScaler(),[12840. 35880. 12340. ... 16140. 13600. 15340.]
